"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description","module"
"Component","GO:0043227",40,7539,50429,"50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RDR4,50429.A0A2B4REW6,50429.A0A2B4RFZ8,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RQW5,50429.A0A2B4RUC3,50429.A0A2B4RUM7,50429.A0A2B4RV20,50429.A0A2B4RY01,50429.A0A2B4S031,50429.A0A2B4S0S1,50429.A0A2B4S3G7,50429.A0A2B4S8R0,50429.A0A2B4S8X4,50429.A0A2B4SAQ0,50429.A0A2B4SB26,50429.A0A2B4SC31,50429.A0A2B4SGI7,50429.A0A2B4SGW1,50429.A0A2B4SHE4,50429.A0A2B4SJR8,50429.A0A2B4SKN4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SM57,50429.A0A2B4SMZ2,50429.A0A2B4SR88,50429.A0A2B4SRD7,50429.A0A2B4SRQ5,50429.A0A2B4SSA4,50429.A0A2B4SYM5,50429.A0A2B4SZP9,50429.A0A2B4SZQ7,50429.A0A2B4SZY7,50429.A0A2B4T104,50429.A0A2B4T253,50429.A0A2B4T368","HLTF,Ddx39b,A1CF,Osbpl1a,Syap1,STRADA,Smg1,hex,ENTPD5,Cpsf2,slc25a42,Dgat1,SEL1L3,DHFR,Itfg2,otx1b,UQCRB,Akap9,SNUPN,ncl1,Ccdc47,IDNK,Tango2,MIPOL1,HSP110,Emc8,NSF,RMDN1,YME1L1,samm50-b,MECR,Timm22,Tsr1,ccdc39,Pdss2,WDFY2,Mgme1,Cog1,PPIE,Hltf",4.54e-06,0.0013,"Membrane-bounded organelle","skyblue"
"Component","GO:0005622",49,10794,50429,"50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RD26,50429.A0A2B4RDR4,50429.A0A2B4REW6,50429.A0A2B4RFZ8,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RUC3,50429.A0A2B4RUM7,50429.A0A2B4RV20,50429.A0A2B4RVR7,50429.A0A2B4RY01,50429.A0A2B4S031,50429.A0A2B4S0S1,50429.A0A2B4S1L4,50429.A0A2B4S3G7,50429.A0A2B4S5X0,50429.A0A2B4S8R0,50429.A0A2B4S8X4,50429.A0A2B4SA54,50429.A0A2B4SAQ0,50429.A0A2B4SB26,50429.A0A2B4SC31,50429.A0A2B4SCC3,50429.A0A2B4SDZ8,50429.A0A2B4SGI7,50429.A0A2B4SGW1,50429.A0A2B4SHE4,50429.A0A2B4SJR8,50429.A0A2B4SKN4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SM57,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SR88,50429.A0A2B4SRD7,50429.A0A2B4SRQ5,50429.A0A2B4SS28,50429.A0A2B4SSA4,50429.A0A2B4SYM5,50429.A0A2B4SYS2,50429.A0A2B4SZP9,50429.A0A2B4SZQ7,50429.A0A2B4SZY7,50429.A0A2B4T104,50429.A0A2B4T253,50429.A0A2B4T368","HLTF,Ddx39b,CAP1,A1CF,Osbpl1a,Syap1,STRADA,Smg1,ENTPD5,Cpsf2,slc25a42,BECN1,Dgat1,SEL1L3,DHFR,FAAH,Itfg2,eef1a,otx1b,UQCRB,RPL3,Akap9,SNUPN,ncl1,Eif2b4,CBR1,Ccdc47,IDNK,Tango2,MIPOL1,HSP110,Emc8,NSF,RMDN1,YME1L1,Kalrn,samm50-b,MECR,Timm22,MAP2K4,Tsr1,ccdc39,TIAM1,Pdss2,WDFY2,Mgme1,Cog1,PPIE,Hltf",1.02e-05,0.0022,"Intracellular anatomical structure","skyblue"
"Component","GO:0016020",33,5690,50429,"50429.A0A2B4R241,50429.A0A2B4R2Q3,50429.A0A2B4R5R4,50429.A0A2B4RD26,50429.A0A2B4RDY7,50429.A0A2B4REW6,50429.A0A2B4RJX8,50429.A0A2B4RNA5,50429.A0A2B4RND4,50429.A0A2B4RQ03,50429.A0A2B4RQW5,50429.A0A2B4RUC3,50429.A0A2B4RV20,50429.A0A2B4RVR7,50429.A0A2B4RY01,50429.A0A2B4S031,50429.A0A2B4S3G7,50429.A0A2B4S8X4,50429.A0A2B4SC31,50429.A0A2B4SGI7,50429.A0A2B4SGJ9,50429.A0A2B4SL51,50429.A0A2B4SL53,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SR88,50429.A0A2B4SRQ5,50429.A0A2B4ST70,50429.A0A2B4SWN1,50429.A0A2B4SYS2,50429.A0A2B4SZV8,50429.A0A2B4T104,50429.A0A2B4T1J8","Cntnap1,Slc11a2,ABCC4,CAP1,nrf-6,Osbpl1a,CNTNAP1,INPP5A,Dmd,ABCC1,hex,ENTPD5,slc25a42,BECN1,Dgat1,SEL1L3,Itfg2,UQCRB,ncl1,Ccdc47,Abcc1,Emc8,cdh-4,YME1L1,Kalrn,samm50-b,Timm22,Ugt2a2,Megf8,TIAM1,ABCG4,Cog1,DMD",1.05e-05,0.0022,"Membrane","skyblue"
"Component","GO:0043226",42,8795,50429,"50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RD26,50429.A0A2B4RDR4,50429.A0A2B4REW6,50429.A0A2B4RFZ8,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RQW5,50429.A0A2B4RUC3,50429.A0A2B4RUM7,50429.A0A2B4RV20,50429.A0A2B4RY01,50429.A0A2B4S031,50429.A0A2B4S0S1,50429.A0A2B4S3G7,50429.A0A2B4S8R0,50429.A0A2B4S8X4,50429.A0A2B4SA54,50429.A0A2B4SAQ0,50429.A0A2B4SB26,50429.A0A2B4SC31,50429.A0A2B4SGI7,50429.A0A2B4SGW1,50429.A0A2B4SHE4,50429.A0A2B4SJR8,50429.A0A2B4SKN4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SM57,50429.A0A2B4SMZ2,50429.A0A2B4SR88,50429.A0A2B4SRD7,50429.A0A2B4SRQ5,50429.A0A2B4SSA4,50429.A0A2B4SYM5,50429.A0A2B4SZP9,50429.A0A2B4SZQ7,50429.A0A2B4SZY7,50429.A0A2B4T104,50429.A0A2B4T253,50429.A0A2B4T368","HLTF,Ddx39b,CAP1,A1CF,Osbpl1a,Syap1,STRADA,Smg1,hex,ENTPD5,Cpsf2,slc25a42,Dgat1,SEL1L3,DHFR,Itfg2,otx1b,UQCRB,RPL3,Akap9,SNUPN,ncl1,Ccdc47,IDNK,Tango2,MIPOL1,HSP110,Emc8,NSF,RMDN1,YME1L1,samm50-b,MECR,Timm22,Tsr1,ccdc39,Pdss2,WDFY2,Mgme1,Cog1,PPIE,Hltf",3.57e-05,0.0046,"Organelle","skyblue"
"Component","GO:0043231",37,7168,50429,"50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RDR4,50429.A0A2B4REW6,50429.A0A2B4RFZ8,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RUC3,50429.A0A2B4RUM7,50429.A0A2B4RV20,50429.A0A2B4RY01,50429.A0A2B4S031,50429.A0A2B4S0S1,50429.A0A2B4S3G7,50429.A0A2B4S8R0,50429.A0A2B4S8X4,50429.A0A2B4SB26,50429.A0A2B4SC31,50429.A0A2B4SGI7,50429.A0A2B4SGW1,50429.A0A2B4SHE4,50429.A0A2B4SJR8,50429.A0A2B4SKN4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SM57,50429.A0A2B4SMZ2,50429.A0A2B4SR88,50429.A0A2B4SRD7,50429.A0A2B4SRQ5,50429.A0A2B4SSA4,50429.A0A2B4SZP9,50429.A0A2B4SZQ7,50429.A0A2B4SZY7,50429.A0A2B4T104,50429.A0A2B4T253,50429.A0A2B4T368","HLTF,Ddx39b,A1CF,Osbpl1a,Syap1,STRADA,Smg1,ENTPD5,Cpsf2,slc25a42,Dgat1,SEL1L3,DHFR,Itfg2,otx1b,UQCRB,SNUPN,ncl1,Ccdc47,IDNK,Tango2,MIPOL1,HSP110,Emc8,NSF,RMDN1,YME1L1,samm50-b,MECR,Timm22,Tsr1,Pdss2,WDFY2,Mgme1,Cog1,PPIE,Hltf",3.13e-05,0.0046,"Intracellular membrane-bounded organelle","skyblue"
"Component","GO:0043229",40,8373,50429,"50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RDR4,50429.A0A2B4REW6,50429.A0A2B4RFZ8,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RUC3,50429.A0A2B4RUM7,50429.A0A2B4RV20,50429.A0A2B4RY01,50429.A0A2B4S031,50429.A0A2B4S0S1,50429.A0A2B4S3G7,50429.A0A2B4S8R0,50429.A0A2B4S8X4,50429.A0A2B4SA54,50429.A0A2B4SAQ0,50429.A0A2B4SB26,50429.A0A2B4SC31,50429.A0A2B4SGI7,50429.A0A2B4SGW1,50429.A0A2B4SHE4,50429.A0A2B4SJR8,50429.A0A2B4SKN4,50429.A0A2B4SL51,50429.A0A2B4SM38,50429.A0A2B4SM57,50429.A0A2B4SMZ2,50429.A0A2B4SR88,50429.A0A2B4SRD7,50429.A0A2B4SRQ5,50429.A0A2B4SSA4,50429.A0A2B4SYM5,50429.A0A2B4SZP9,50429.A0A2B4SZQ7,50429.A0A2B4SZY7,50429.A0A2B4T104,50429.A0A2B4T253,50429.A0A2B4T368","HLTF,Ddx39b,A1CF,Osbpl1a,Syap1,STRADA,Smg1,ENTPD5,Cpsf2,slc25a42,Dgat1,SEL1L3,DHFR,Itfg2,otx1b,UQCRB,RPL3,Akap9,SNUPN,ncl1,Ccdc47,IDNK,Tango2,MIPOL1,HSP110,Emc8,NSF,RMDN1,YME1L1,samm50-b,MECR,Timm22,Tsr1,ccdc39,Pdss2,WDFY2,Mgme1,Cog1,PPIE,Hltf",7.2e-05,0.008,"Intracellular organelle","skyblue"
"Component","GO:0032991",20,3135,50429,"50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RUM7,50429.A0A2B4RVR7,50429.A0A2B4S260,50429.A0A2B4S3G7,50429.A0A2B4S8X4,50429.A0A2B4SA54,50429.A0A2B4SB26,50429.A0A2B4SCC3,50429.A0A2B4SGI7,50429.A0A2B4SL51,50429.A0A2B4SR88,50429.A0A2B4SRQ5,50429.A0A2B4SSA4,50429.A0A2B4SZP9,50429.A0A2B4T104,50429.A0A2B4T253","HLTF,Ddx39b,STRADA,Smg1,Cpsf2,BECN1,Fbxo8,Itfg2,UQCRB,RPL3,SNUPN,Eif2b4,Ccdc47,Emc8,samm50-b,Timm22,Tsr1,Pdss2,Cog1,PPIE",0.00038,0.0373,"Protein-containing complex","skyblue"
"Function","GO:0000166",18,2204,50429,"50429.A0A2B4R5R4,50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RQ03,50429.A0A2B4S0S1,50429.A0A2B4S5X0,50429.A0A2B4SGJ9,50429.A0A2B4SGW1,50429.A0A2B4SKN4,50429.A0A2B4SM38,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SS28,50429.A0A2B4SSA4,50429.A0A2B4SZV8,50429.A0A2B4T368","ABCC4,HLTF,Ddx39b,STRADA,Smg1,ABCC1,DHFR,eef1a,Abcc1,IDNK,HSP110,NSF,YME1L1,Kalrn,MAP2K4,Tsr1,ABCG4,Hltf",3.72e-05,0.0339,"Nucleotide binding","skyblue"
"Function","GO:0003824",30,5777,50429,"50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RDY7,50429.A0A2B4RF34,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RNA5,50429.A0A2B4RQW5,50429.A0A2B4RUC3,50429.A0A2B4RV20,50429.A0A2B4RY01,50429.A0A2B4S031,50429.A0A2B4S0S1,50429.A0A2B4S1L4,50429.A0A2B4S3G7,50429.A0A2B4S5X0,50429.A0A2B4SA77,50429.A0A2B4SDZ8,50429.A0A2B4SGW1,50429.A0A2B4SM38,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SRD7,50429.A0A2B4SS28,50429.A0A2B4SSA4,50429.A0A2B4ST70,50429.A0A2B4SZP9,50429.A0A2B4SZY7,50429.A0A2B4T253,50429.A0A2B4T368","HLTF,Ddx39b,nrf-6,GPX5,STRADA,Smg1,INPP5A,hex,ENTPD5,slc25a42,Dgat1,SEL1L3,DHFR,FAAH,Itfg2,eef1a,Cbr1,CBR1,IDNK,NSF,YME1L1,Kalrn,MECR,MAP2K4,Tsr1,Ugt2a2,Pdss2,Mgme1,PPIE,Hltf",3e-04,0.0339,"Catalytic activity","skyblue"
"Function","GO:0005524",15,1599,50429,"50429.A0A2B4R5R4,50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RQ03,50429.A0A2B4SGJ9,50429.A0A2B4SGW1,50429.A0A2B4SKN4,50429.A0A2B4SM38,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SS28,50429.A0A2B4SZV8,50429.A0A2B4T368","ABCC4,HLTF,Ddx39b,STRADA,Smg1,ABCC1,Abcc1,IDNK,HSP110,NSF,YME1L1,Kalrn,MAP2K4,ABCG4,Hltf",4.09e-05,0.0339,"ATP binding","skyblue"
"Function","GO:0016818",8,556,50429,"50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RUC3,50429.A0A2B4RV20,50429.A0A2B4S5X0,50429.A0A2B4SM38,50429.A0A2B4SMZ2,50429.A0A2B4SSA4","HLTF,Ddx39b,ENTPD5,slc25a42,eef1a,NSF,YME1L1,Tsr1",2e-04,0.0339,"Hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","skyblue"
"Function","GO:0032555",17,1952,50429,"50429.A0A2B4R5R4,50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RQ03,50429.A0A2B4S5X0,50429.A0A2B4SGJ9,50429.A0A2B4SGW1,50429.A0A2B4SKN4,50429.A0A2B4SM38,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SS28,50429.A0A2B4SSA4,50429.A0A2B4SZV8,50429.A0A2B4T368","ABCC4,HLTF,Ddx39b,STRADA,Smg1,ABCC1,eef1a,Abcc1,IDNK,HSP110,NSF,YME1L1,Kalrn,MAP2K4,Tsr1,ABCG4,Hltf",2.89e-05,0.0339,"Purine ribonucleotide binding","skyblue"
"Function","GO:0035639",17,1904,50429,"50429.A0A2B4R5R4,50429.A0A2B4R892,50429.A0A2B4R8X2,50429.A0A2B4RI02,50429.A0A2B4RMD7,50429.A0A2B4RQ03,50429.A0A2B4S5X0,50429.A0A2B4SGJ9,50429.A0A2B4SGW1,50429.A0A2B4SKN4,50429.A0A2B4SM38,50429.A0A2B4SMZ2,50429.A0A2B4SNE6,50429.A0A2B4SS28,50429.A0A2B4SSA4,50429.A0A2B4SZV8,50429.A0A2B4T368","ABCC4,HLTF,Ddx39b,STRADA,Smg1,ABCC1,eef1a,Abcc1,IDNK,HSP110,NSF,YME1L1,Kalrn,MAP2K4,Tsr1,ABCG4,Hltf",2.11e-05,0.0339,"Purine ribonucleoside triphosphate binding","skyblue"
